NCT Number,Study Title,Study URL,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Funder Type,Study Type,Locations
NCT05781399,"First-in-Human, Multiple Part Clinical Study of JNT-517 in Healthy Participants and in Participants With Phenylketonuria",https://clinicaltrials.gov/study/NCT05781399,ACTIVE_NOT_RECRUITING,"The goal of Parts A and B of this Phase 1/2, first-in-human, randomized study is to assess the safety, tolerability, and pharmacokinetics (PK) of single (SAD) and multiple (MAD) ascending doses of oral JNT-517 in healthy participants. In Part C, the goal is to evaluate the differences in bioavailability between a tablet and suspension formulation of JNT-517 and the food effect in healthy volunteers. All participants in Part C will receive JNT-517. The goal of Part D is to assess the safety, tolerability, PK, and effect on urinary Phe and other amino acids of JNT-517 in participants with phenylketonuria (PKU). Participants in Part D will receive either JNT-517 or placebo and will be blinded to their treatment assignment.

The study consists of 6 parts:

* Part A: SAD in healthy participants -randomized, double-blind, placebo-controlled
* Part B: MAD in healthy participants (14 days)-randomized, double-blind, placebo-controlled
* Part C: Relative bioavailability of 2 formulations and food effect in healthy participants-randomized, open-label
* Part D: Phase 2 in participants with PKU (4 weeks)-randomized, double-blind, placebo-controlled
* Part E: Phase 2 in participants with PKU (4 weeks) open label
* Part F: SAD Phase 1 in healthy participants, randomized, double-blind, placebo-controlled

In each part, participants will complete a Screening Period, a Treatment Period, and a Follow-up Period for safety.",Phenylketonuria,DRUG: JNT-517 Suspension|DRUG: Placebo Suspension|DRUG: JNT-517 Tablet|DRUG: Placebo Tablet,Jnana Therapeutics,,INDUSTRY,INTERVENTIONAL,"University of Florida College of Medicine, Gainesville, Florida, 32610, United States|University of South Florida, Tampa, Florida, 33620, United States|Rare Disease Research, Atlanta, Georgia, 30329, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Oregon Health & Sciences University, Portland, Oregon, 97239, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15224, United States|UT Southwestern Medical Center, Dallas, Texas, 75390, United States|University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States|Utah Health - The University of Utah Hospital, Salt Lake City, Utah, 84112, United States|Nucleus Network Melbourne, Melbourne, Melbourne VIC, 3004, Australia|Westmead Hospital, Westmead, New South Wales, 2145, Australia|Mater Misericordia Ltd, South Brisbane, Queensland, 4101, Australia|Royal Adelaide Hospital, Adelaide, South Australia, 5000, Australia"
NCT03655678,A Safety and Efficacy Study Evaluating CTX001 in Participants With Transfusion-Dependent β-Thalassemia,https://clinicaltrials.gov/study/NCT03655678,ACTIVE_NOT_RECRUITING,"This is a single-arm, open-label, multi-site, single-dose Phase 1/2/3 study in participans with transfusion-dependent β-thalassemia (TDT). The study will evaluate the safety and efficacy of autologous CRISPR-Cas9 Modified CD34+ Human Hematopoietic Stem and Progenitor Cells (hHSPCs) using CTX001.","Beta-Thalassemia|Thalassemia|Genetic Diseases, Inborn|Hematologic Diseases|Hemoglobinopathies",BIOLOGICAL: CTX001,Vertex Pharmaceuticals Incorporated,CRISPR Therapeutics,INDUSTRY,INTERVENTIONAL,"Lucile Packard Children's Hospital, Palo Alto, California, 94304, United States|Ann & Robert Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Columbia University Medical Center (21+ years), New York, New York, 10032, United States|Columbia University Medical Center, New York, New York, 10032, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|The Children's Hospital at TriStar Centennial Medical Center/ Sarah Cannon Center for Blood Cancers, Nashville, Tennessee, 37203, United States|The Hospital for Sick Children, Toronto, Canada|British Columbia Children's Hospital, Vancouver, Canada|Universitätsklinikum Düsseldorf Hospital Duesseldorf, Düsseldorf, Germany|Regensburg University Hospital, Clinic and Polyclinic for Paediatric and Adolescent Medicine, Regensburg, Germany|University Hospital Tübingen, Tuebingen, Germany|Ospedale Pediatrico Bambino Gesù, IRCCS, Rome, Italy|Imperial College Healthcare NHS Trust, Hammersmith Hospital, London, United Kingdom|University College London Hospitals NHS Foundation Trust, London, United Kingdom"
NCT02778204,Evaluating the Safety and Pharmacokinetics of Maraviroc in HIV-1-Exposed Infants at Risk of Acquiring HIV-1 Infection,https://clinicaltrials.gov/study/NCT02778204,COMPLETED,"This study aimed to evaluate the safety, tolerability, and pharmacokinetics of maraviroc in infants at risk for mother-to-child HIV transmission, and to determine an appropriate dose of maraviroc during the first six weeks of life.",HIV Infections,DRUG: Maraviroc|DRUG: Maraviroc,National Institute of Allergy and Infectious Diseases (NIAID),Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|ViiV Healthcare|GlaxoSmithKline,NIH,INTERVENTIONAL,"Usc La Nichd Crs, Los Angeles, California, 90089, United States|Univ. of Colorado Denver NICHD CRS, Aurora, Colorado, 80045, United States|Rush Univ. Cook County Hosp. Chicago NICHD CRS, Chicago, Illinois, 60612, United States|Lurie Children's Hospital of Chicago (LCH) CRS, Chicago, Illinois, 60614-3393, United States|St. Jude Children's Research Hospital CRS, Memphis, Tennessee, 38105-3678, United States|Kenya Medical Research Institute / Walter Reed Project Clinical Research Center, Kericho CRS, Kericho, 20200, Kenya|Soweto IMPAACT CRS, Johannesburg, Gauteng, 1862, South Africa|Umlazi CRS, Durban, Kwa Zulu Natal, 4001, South Africa|Siriraj Hospital ,Mahidol University NICHD CRS, Bangkok, Bangkoknoi, 10700, Thailand"
NCT04775485,A Study to Evaluate Tovorafenib in Pediatric and Young Adult Participants With Relapsed or Progressive Low-Grade Glioma and Advance Solid Tumors,https://clinicaltrials.gov/study/NCT04775485,RECRUITING,"This is a Phase 2, multi center, open-label study to evaluate the safety and efficacy of Type II RAF (tovorafenib) in pediatric participants with low-grade glioma or advanced solid tumors. Qualifying genomic alterations will be identified through molecular assays as routinely performed at Clinical Laboratory Improvement Amendments (CLIA) of 1988 or other similarly certified laboratories prior to enrollment into any of the arms. The study will consist of a screening period, a treatment period, a long-term extension phase, end of treatment (EOT) visit(s), a safety follow-up visit, and long-term follow-up assessments.",Low-grade Glioma|Advanced Solid Tumor,DRUG: Tovorafenib,"Day One Biopharmaceuticals, Inc.",Pacific Pediatric Neuro-Oncology Consortium,INDUSTRY,INTERVENTIONAL,"UCSF Benioff Children's Hospital, San Francisco, California, 94143, United States|Children's National Medical Center, Washington, District of Columbia, 20010, United States|Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21231, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States|CS Mott Children's Hospital, Ann Arbor, Michigan, 48109, United States|St. Louis Children's Hospital, Saint Louis, Missouri, 63110, United States|NYU Langone Health, New York, New York, 10016, United States|Duke Cancer Center, Durham, North Carolina, 27710, United States|Doernbecher Children's Hospital Oregon & Health Science University, Portland, Oregon, 97239, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Texas Children's Hospital, Houston, Texas, 77030, United States|University of Utah, Salt Lake City, Utah, 84113, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States|Queensland Children's Hospital, Brisbane, 4101, Australia|Royal Children's Hospital, Parkville, 3052, Australia|Perth Children's Hospital, Perth, WA 6009, Australia|Sydney Children's Hospital, Randwick, NSW 2031, Australia|The Children's Hospital at Westmead, Westmead, 2145, Australia|Centre Hospitalier Universitaire Ste-Justine, Montreal, Quebec, H3T 1C5, Canada|Montreal Children's Hospital, Montreal, Quebec, H4A 3J1, Canada|Centre Mère-Enfant Soleil du CHU, Québec, Quebec, G1V 4G2, Canada|Rigshospitalet, Copenhagen, Denmark|Charité Universitätsmedizin Berlin, Campus Virchow Klinikum, Otto-Heubner-Centrum für Kinder, Berlin, 13353, Germany|Hopp-Kindertumorzentrum Heidelberg (KiTZ), KiTZ Clinical Trial Unit (ZIPO), Heidelberg, 69120, Germany|Rambam Health Care Campus, Haifa, 3109601, Israel|Schneider Children's Medical Center of Israel, Petah Tikva, 4920235, Israel|The Chaim Sheba Medical Center, Ramat Gan, 5265601, Israel|Seoul National University Hospital, Seoul, 3080, Korea, Republic of|Severance Hospital - Yonsei University, Seoul, 3722, Korea, Republic of|Princess Maxima Center for Pediatric Oncology, Utrecht, 3584 CS, Netherlands|KK Women's and Children's Hospital, Singapore, 229899, Singapore|Universitäts-Kinderspital Zürich - Eleonorenstiftung, Zürich, 8032, Switzerland|UCL Great Ormond Street Institute of Child Health, London, WC1N 1EH, United Kingdom|Newcastle University, Newcastle Upon Tyne, NE1 7RU, United Kingdom"
NCT00924703,Long-Term Extension of Previous rAvPAL-PEG Protocols in Subjects With PKU (PAL-003),https://clinicaltrials.gov/study/NCT00924703,COMPLETED,This study is an extension of previous rAvPAL-PEG studies. Administration of rAvPAL-PEG will be continued to assess whether long-term dosing of rAvPAL-PEG is safe and can maintain reduced blood Phe concentrations in PKU subjects.,Phenylketonuria,DRUG: rAvPAL-PEG,BioMarin Pharmaceutical,,INDUSTRY,INTERVENTIONAL,"The Children's Hospital, Aurora, Colorado, 80045, United States|University of Florida, Gainesville, Florida, 32610, United States|Ann and Robert H Lurie Children's Hospital, Chicago, Illinois, 60611, United States|University of Louisville, Kosair Charities Pediatric Clinical Research Unit, Louisville, Kentucky, 40202, United States|Children's Hospital Boston, Boston, Massachusetts, 02115, United States|University of Missouri, Columbia, Missouri, 65212, United States|Washington University Center for Applied Research Sciences, Saint Louis, Missouri, 63110, United States|Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Albany Medical Center, Albany, New York, 12208, United States|Mount Sinai School of Medicine, New York, New York, 10029, United States|Oregon Health and Science University, Portland, Oregon, 97239, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15224, United States|University of Utah Hospital, Salt Lake City, Utah, 84108, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
NCT03441360,"Study to Assess Safety and Preliminary Activity of Eribulin Mesylate in Pediatric Participants With Relapsed/Refractory Rhabdomyosarcoma (RMS), Non-rhabdomyosarcoma Soft Tissue Sarcoma (NRSTS) and Ewing Sarcoma (EWS)",https://clinicaltrials.gov/study/NCT03441360,COMPLETED,"This study will be conducted as an assessment of the safety and preliminary activity of eribulin mesylate in pediatric participants with relapsed/refractory rhabdomyosarcoma (RMS), non-rhabdomyosarcoma soft tissue sarcoma (NRSTS), or Ewing sarcoma (EWS) to determine whether each cohort warrants further investigation.",Relapsed/Refractory Rhabdomyosarcoma|Non-rhabdomyosarcoma Soft Tissue Sarcoma|Ewing Sarcoma,DRUG: Eribulin mesylate,Eisai Inc.,,INDUSTRY,INTERVENTIONAL,"University of Alabama at Birmingham, Birmingham, Alabama, 35233, United States|Phoenix Children's Hospital, Phoenix, Arizona, 85016, United States|Loma Linda University Cancer Center, Loma Linda, California, 92350, United States|Children's Hospital Los Angeles, Los Angeles, California, 90027, United States|Southern California Permanente Medical Group, Los Angeles, California, 90027, United States|Children's Hospital of Orange County, Orange, California, 92868, United States|Rady Children's Hospital- San Diego, San Diego, California, 92123, United States|Connecticut Children's Medical Center, Hartford, Connecticut, 06106, United States|Nemours / A.I. duPont Hospital for Children, Wilmington, Delaware, 19803, United States|Children's National Medical Center, Washington, District of Columbia, 20010, United States|Nemours Children's Clinic, Jacksonville, Florida, 32207, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, 30322, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Riley Hospital for Children - Indiana University, Indianapolis, Indiana, 46202, United States|Blank Children's Hospital, Des Moines, Iowa, 50309, United States|Norton Children's Hospital, Louisville, Kentucky, 40202, United States|Johns Hopkins University, Baltimore, Maryland, 21287, United States|CS Mott Children's Hospital, Ann Arbor, Michigan, 48109, United States|Children's Hospitals and Clinics of Minnesota, Minneapolis, Minnesota, 55404, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|University of Mississippi Medical Center, Jackson, Mississippi, 39216, United States|Children's Mercy Hospital and Clinics, Kansas City, Missouri, 64108, United States|Hackensack University Medical Center, Hackensack, New Jersey, 07601, United States|Rutgers cancer Institute of NJ, New Brunswick, New Jersey, 08853, United States|Columbia University Medical Center, New York, New York, 10032, United States|Children's Hospital Medical Center of Akron, Akron, Ohio, 44308, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Randall Children's Hospital at Legacy Emanuel, Portland, Oregon, 97227, United States|Geisinger Medical Center, Danville, Pennsylvania, 17822, United States|Penn State Health Hershey Medical Center, Hershey, Pennsylvania, 17033, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, 15224, United States|Vanderbilt Ingram Cancer Center, Nashville, Tennessee, 37232, United States|Children's Medical Center, Dallas, Texas, 75235, United States|Cook Children's Medical Center, Fort Worth, Texas, 76104, United States|Methodist Children's Hospital of South Texas, San Antonio, Texas, 78229, United States|Children's Hosptial of The King's Daughters, Norfolk, Virginia, 23507, United States|Seattle Children's, Seattle, Washington, 98105, United States|Providence Sacred Heart Medical Center and Children's Hospital, Spokane, Washington, 99204, United States|Children's Hospital of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
NCT03013517,Follow-up of the PEPITES Study to Evaluate Long-term Efficacy and Safety of Viaskin Peanut in Children,https://clinicaltrials.gov/study/NCT03013517,UNKNOWN,"This is an open-label, follow-up study for subjects who completed the PEPITES study. Subjects will be offered enrollment in this follow-up study to receive Viaskin Peanut 250 μg for 2 additional years if previously on active treatment in the PEPITES study, or for 3 years if previously on placebo in the PEPITES study.",Peanut Allergy,DRUG: Viaskin Peanut 250µg,DBV Technologies,,INDUSTRY,INTERVENTIONAL,"Arkansas Children's Hospital, Little Rock, Arkansas, 72202, United States|University of California, Rady Children's Hospital, San Diego, California, 92123, United States|Stanford University School of Medicine, Stanford, California, 94304, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|National Jewish Health, Denver, Colorado, 80206, United States|Ann & Robert Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21205, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston Childrens' Hospital, Boston, Massachusetts, 02115, United States|Jaffe Food Allergy Institute, New York, New York, 10029, United States|The University of North Carolina - Chapell Hill, Chapel Hill, North Carolina, 27599, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15213, United States|Children's Medical Center of Dallas, Dallas, Texas, 75390-9105, United States|Baylor College of Medicine - Texas Children's Hospital, Houston, Texas, 77030, United States|ASTHMA, Inc., Seattle, Washington, 98115, United States|Allergy Medical, Brisbane, Australia|Princess Margaret Hospital for Children, Perth, Australia|Children's Hospital Westmead, Sydney, Australia|British Columbia Children's Hospital, Vancouver, British Columbia, V5H 3V4, Canada|Cheema Research Inc., Mississauga, Ontario, L5A 3V4, Canada|Ottawa Allergy Asthma Research Institute, Ottawa, Ontario, K1G 6C6, Canada|Gordon Sussman Clinical Research Inc., Toronto, Ontario, M4V 1R2, Canada|CHUM & CHU Sainte-Justine, Montreal, Quebec, H3T 1C4, Canada|Centre de Recherche Appliquée en Allergie de Quebec, Quebec, QC G1V4M6, Canada|Charité Universitätsmedizin Berlin, Berlin, D13353, Germany|St.-Marien-Hospital, Bonn, D-53115, Germany|Universitätsklinikum Erlangen, Erlangen, 91054, Germany|Clinical Investigations Unit, Cork, Ireland|Our Lady's Children's Hospital, Dublin, Ireland"
NCT02636699,Efficacy and Safety of Viaskin Peanut in Children With Immunoglobulin E (IgE)-Mediated Peanut Allergy,https://clinicaltrials.gov/study/NCT02636699,COMPLETED,The PEPITES study evaluates the efficacy and safety of Viaskin Peanut 250 µg peanut protein to induce desensitization to peanut in peanut-allergic children 4 through 11 years of age after a 12-month treatment by epicutaneous immunotherapy (EPIT).,Peanut Allergy,BIOLOGICAL: Viaskin Peanut 250mcg|BIOLOGICAL: Placebo,DBV Technologies,,INDUSTRY,INTERVENTIONAL,"Arkansas Children's Hospital, Little Rock, Arkansas, 72202, United States|University of California, Rady Children's Hospital, San Diego, California, 92123, United States|Stanford University School of Medicine, Stanford, California, 94305, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|National Jewish Health, Denver, Colorado, 80206, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21287, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston Childrens' Hospital, Boston, Massachusetts, 02115, United States|Jaffe Food Allergy Institute, New York, New York, 10029, United States|The University of North Carolina - Chapell Hill, Chapel Hill, North Carolina, 27599, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, 15213, United States|Children's Medical Center of Dallas, Dallas, Texas, 75235, United States|Baylor College of Medicine - Texas Children's Hospital, Houston, Texas, 77030, United States|ASTHMA, Inc., Seattle, Washington, 98115, United States|Allergy Medical, Brisbane, Australia|Princess Margaret Hospital for Children, Perth, Australia|Children's Hospital Westmead, Sydney, Australia|British Columbia Children's Hospital, Vancouver, British Columbia, V5H 3V4, Canada|Cheema Research Inc., Mississauga, Ontario, L5A 3V4, Canada|Ottawa Allergy Asthma Research Institute, Ottawa, Ontario, K1Y 4G2, Canada|Gordon Sussman Clinical Research Inc., Toronto, Ontario, M4V 1R2, Canada|CHUM & CHU Sainte-Justine, Montréal, Quebec, H3T 1C4, Canada|Centre de Recherche Appliquée en Allergie de Québec (CRAAQ), Quebec, QC G1V4M6, Canada|Charité Universitätsmedizin Berlin, Berlin, D-13353, Germany|St.-Marien-Hospital, Bonn, D-53115, Germany|Universitätsklinikum Erlangen, Erlangen, Germany|Clinical Investigations Unit, Cork, Ireland|Our Lady's Children's Hospital, Dublin, Ireland"
NCT01952080,"A Pharmacokinetic, Safety, and Pharmacodynamic Study of Teduglutide in Pediatric Subjects With Short Bowel Syndrome",https://clinicaltrials.gov/study/NCT01952080,COMPLETED,"This will be an open label, 4-cohort study. Non-randomized subjects will receive teduglutide in each of the 3 active cohorts. An attempt will be made to enroll additional subjects into an observational cohort who will receive standard of care. Three doses of teduglutide are to be investigated for 12 weeks. All subjects will be screened prior to the start of treatment (SOT) to establish baseline characteristics including safety, eligibility and nutritional support parameters.",Short Bowel Syndrome,DRUG: teduglutide,Shire,,INDUSTRY,INTERVENTIONAL,"Children´s Hospital of Alabama, Birmingham, Alabama, 35233, United States|Arkansas Children's Hospital, Little Rock, Arkansas, 72202, United States|Children's Hospital Los Angeles, Los Angeles, California, 90024, United States|Mattel Children's Hospital UCLA, Department of Pediatric Gastroenterology, Los Angeles, California, 90095, United States|Arnold Palmer Hospital for Children, Orlando, Florida, 32806, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, 60611, United States|Riley Hospital for Children at IU Health, Indianapolis, Indiana, 46202, United States|Boston Children's Hospital, Boston, Massachusetts, 02115, United States|Mott Children's Hospital, University of Michigan, Ann Arbor, Michigan, 48109, United States|Childrens Mercy Hospitals & Clinics Pediatric Gastroenterology, Kansas City, Missouri, 64108, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Montefiore Medical Center, Bronx, New York, 10467, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|University of Tennessee Health Science Center Le Bonheur Pediatric Specialists, Memphis, Tennessee, 38103, United States|Monroe Carell, Jr. Children's Hospital at Vanderbilt, Nashville, Tennessee, 37232, United States|Texas Children's Hospital, Baylor College of Medicine, Houston, Texas, 77030, United States|Seattle Childrens Hospital Gastroenterology and Hepatology, Seattle, Washington, 98105, United States|University of Wisconsin School of Medicine and Public Health Surgery, Madison, Wisconsin, 53792, United States|Great Ormond Street Hospital for Children, London, United Kingdom"
NCT00939770,Crizotinib in Treating Younger Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma,https://clinicaltrials.gov/study/NCT00939770,COMPLETED,This phase 1/2 trial the studies side effects and best dose of crizotinib and to see how well it works in treating young patients with solid tumors or anaplastic large cell lymphoma that has returned after a period of improvement or does not respond to treatment. Crizotinib may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. (Phase 1 completed 2/15/13),Recurrent Childhood Anaplastic Large Cell Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma,DRUG: Crizotinib|OTHER: Laboratory Biomarker Analysis|OTHER: Pharmacological Study|OTHER: Questionnaire Administration,Children's Oncology Group,National Cancer Institute (NCI)|Pfizer,NETWORK,INTERVENTIONAL,"Children's Hospital of Alabama, Birmingham, Alabama, 35233, United States|University of Alabama at Birmingham Cancer Center, Birmingham, Alabama, 35233, United States|Children's Hospital of Orange County, Orange, California, 92868, United States|UCSF Medical Center-Parnassus, San Francisco, California, 94143, United States|UCSF Medical Center-Mission Bay, San Francisco, California, 94158, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Children's National Medical Center, Washington, District of Columbia, 20010, United States|Children's Healthcare of Atlanta - Egleston, Atlanta, Georgia, 30322, United States|Lurie Children's Hospital-Chicago, Chicago, Illinois, 60611, United States|Riley Hospital for Children, Indianapolis, Indiana, 46202, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States|C S Mott Children's Hospital, Ann Arbor, Michigan, 48109, United States|University of Minnesota/Masonic Cancer Center, Minneapolis, Minnesota, 55455, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center, New York, New York, 10032, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, 45229, United States|Nationwide Children's Hospital, Columbus, Ohio, 43205, United States|Oregon Health and Science University, Portland, Oregon, 97239, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, 15224, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States|Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, 37232, United States|UT Southwestern/Simmons Cancer Center-Dallas, Dallas, Texas, 75390, United States|Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center, Houston, Texas, 77030, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States|Children's Hospital of Wisconsin, Milwaukee, Wisconsin, 53226, United States|Hospital for Sick Children, Toronto, Ontario, M5G 1X8, Canada"
NCT04431453,Study of Remdesivir in Participants Below 18 Years Old With COVID-19,https://clinicaltrials.gov/study/NCT04431453,COMPLETED,"The goals of this clinical study are to learn more about the study drug, remdesivir, and how safe it is in participants less than 18 years old with coronavirus disease 2019 (COVID-19).",COVID-19,DRUG: Remdesivir,Gilead Sciences,,INDUSTRY,INTERVENTIONAL,"Children's Hospital of Alabama, Birmingham, Alabama, 35233, United States|Children's Hospital Los Angeles, Los Angeles, California, 90027, United States|Ronald Reagan University of California, Los Angeles Medical Center, Los Angeles, California, 90095, United States|Valley Children's Hospital, Madera, California, 93636, United States|UC Davis Medical center, Sacramento, California, 95817, United States|Rady Children's Hospital San Diego, San Diego, California, 92123, United States|Tampa General Hospital (Inpatient Visits), Tampa, Florida, 33606, United States|Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, 60611, United States|Norton Children's Hospital, Louisville, Kentucky, 40202, United States|Tulane University School of Medicine, New Orleans, Louisiana, 70112, United States|Johns Hopkins Children's Center, Baltimore, Maryland, 21287, United States|Boston Children's Hospital, Boston, Massachusetts, 02115, United States|Spectrum Health/Helen De Vos Children's Hospital, Grand Rapids, Michigan, 49503, United States|Children's Minnesota, Minneapolis, Minnesota, 55404, United States|NYC Health + Hospitals/Jacobi Medical Center, Bronx, New York, 10461, United States|Montefiore Medical Center, Bronx, New York, 10467, United States|Northwell Health-Cohen Children's Medical Center, New Hyde Park, New York, 11040, United States|Carolinas Medical Center-Levine Children's Hospital, Charlotte, North Carolina, 28203, United States|Lehigh Valley Hospital/Lehigh Valley Health Network (LVH/LVHN), Allentown, Pennsylvania, 18103, United States|St. Christopher's Hospital for Children, Philadelphia, Pennsylvania, 19134, United States|Children's Medical Center, Dallas, Texas, 75235, United States|Texas Children's Hospital, Houston, Texas, 77030, United States|Azienda Ospedaliero Universitaria Meyer, Florence, 50139, Italy|Azienda Ospedaliera di Padova - Dipartimento Salute della Donna e del Bambino, Padova, 35128, Italy|UO Clinica Pediatrica, Ospedale Pietro Barilla - AOU di Parma, Parma, 43126, Italy|Hospital Universitari Vall D'Hebron, Barcelona, 8035, Spain|Hospital Sant Joan de Déu, Esplugues de llobregat, 8950, Spain|Hospital General Universitario Gregorio Maranon, Madrid, 28009, Spain|Hospital Universitario 12 de Octubre, Madrid, 28041, Spain|Hospital Universitario La Paz, Madrid, 28041, Spain|Hospital Clínico Universitario de Santiago, Santiago de Compostela, 15706, Spain|Alder Hey Children's NHS Foundation Trust, Liverpool, L12 2AP, United Kingdom"
